"SUPERPATHWAY"	"SUBPATHWAY"	"COMPID"	"PLATFORM"	"RI"	"MASS"	"CAS"	"PUBCHEM"	"KEGG"	"HMDBID"
"x-12686"	""	""	34295	"202"	1101	181.05321	""	""	""	""
"x-19145"	""	""	42552	"203"	4170.5	417.21176	""	""	""	""
"o-cresol sulfate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	36845	"203"	2821	187.00705	""	"11615528"	""	""
"x-11449"	""	""	32766	"202"	1303	119.03508	""	""	""	""
"1-palmitoleoyl-gpc (16:1)"	"Lipid"	"Lysolipid"	33230	"202"	5524	494.32412	""	"24779461"	""	""
"furaneol"	"Xenobiotics"	"Food Component/Plant"	38113	"202"	2545	129.05462	"3658-77-3"	"19309;25200724"	""	"HMDB40594"
"x-12116"	""	""	33531	"202"	1640	286.12851	""	""	""	""
"erucate (22:1n9)"	"Lipid"	"Long Chain Fatty Acid"	1552	"203"	6273.3	337.3112	"112-86-7"	"5281116"	"C08316"	"HMDB02068"
"x-12410"	""	""	33838	"203"	2130	274.03914	""	""	""	""
"4-ethylphenyl sulfate"	"Xenobiotics"	"Benzoate Metabolism"	36099	"203"	3570	201.0227	"123-07-9"	""	"C13637"	""
"threonate"	"Cofactors and Vitamins"	"Ascorbate and Aldarate Metabolism"	27738	"GC/MS"	1560.7	292.1	"70753-61-6"	"151152"	"C01620"	"HMDB00943"
"x-11521"	""	""	32838	"202"	3650	286.20172	""	""	""	""
"x-12231"	""	""	33653	"203"	4186	352.08536	""	""	""	""
"x-11843"	""	""	33188	"203"	2710	230.01239	""	""	""	""
"pseudouridine"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	33442	"202"	1180	245.07682	"1445-07-4"	""	"C02067"	"HMDB00767"
"maltotriose"	"Carbohydrate"	"Glycogen Metabolism"	15877	"GC/MS"	2419	204	"1109-28-0"	"439586"	"C01835"	"HMDB01262"
"gamma-glutamyltryptophan"	"Peptide"	"Gamma-glutamyl Amino Acid"	33947	"202"	3033	334.13975	"66471-20-3"	"3989307"	""	""
"leucine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	60	"202"	1674	132.10191	"61-90-5"	"6106"	"C00123"	"HMDB00687"
"dodecanedioate (c12)"	"Lipid"	"Fatty Acid, Dicarboxylate"	32388	"203"	2990	229.14453	"693-23-2"	"12736"	"C02678"	"HMDB00623"
"creatine"	"Amino Acid"	"Creatine Metabolism"	27718	"202"	758	132.07676	"57-00-1"	"586"	"C00300"	"HMDB00064"
"histidylphenylalanine"	"Peptide"	"Dipeptide"	42084	"202"	1730	303.14517	"16874-81-0"	"4466133"	""	""
"x-15477"	""	""	37725	"202"	4421	365.23187	""	""	""	""
"androsterone sulfate"	"Lipid"	"Steroid"	31591	"203"	5011	369.17411	"2479-86-9"	"159663"	""	"HMDB02759"
"n-acetylvaline"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	1591	"203"	1697	158.08226	"96-81-1"	"66789"	""	"HMDB11757"
"erythritol"	"Xenobiotics"	"Food Component/Plant"	20699	"GC/MS"	1517.5	217	"149-32-6"	"222285"	"C00503"	"HMDB02994"
"1-eicosatrienoyl-gpc (20:3)"	"Lipid"	"Lysolipid"	33821	"202"	5600	546.35542	""	""	""	""
"1-myristoyl-gpc (14:0)"	"Lipid"	"Lysolipid"	45453	"202"	5481	468.30847	"20559-16-4"	"460604"	"C04230"	"HMDB10379"
"sebacate (decanedioate)"	"Lipid"	"Fatty Acid, Dicarboxylate"	32398	"203"	1778	201.11323	"111-20-6"	"5192"	"C08277"	"HMDB00792"
"biliverdin"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	2137	"202"	4936	583.25512	"55482-27-4;55482-27-4"	"5353439"	"C00500"	"HMDB01008"
"o-sulfo-l-tyrosine"	"Xenobiotics"	"Chemical"	45413	"203"	1006.1	260.02343	""	"514186"	""	""
"tetradecanedioate (c14)"	"Lipid"	"Fatty Acid, Dicarboxylate"	35669	"203"	3970	257.17583	"821-38-5"	"13185"	""	"HMDB00872"
"x-13249"	""	""	34947	"203"	803	253.09253	""	""	""	""
"pyroglutamine"	"Amino Acid"	"Glutamate Metabolism"	32672	"202"	764	129.06586	"2353-44-8"	"134508"	""	""
"bilirubin"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	27716	"203"	4812	583.2562	"635-65-4"	"5280352"	"C00486"	"HMDB00054"
"salicylate"	"Xenobiotics"	"Drug"	1515	"203"	2226	137.02442	"69-72-7"	"338"	"C00805"	"HMDB01895"
"x-17761"	""	""	40863	"202"	4910.6	274.18301	""	""	""	""
"2-oleoyl-gpe (18:1)"	"Lipid"	"Lysolipid"	35687	"203"	5848	478.29391	""	""	""	""
"x-12407"	""	""	33835	"203"	1902	204.98079	""	""	""	""
"cyclo(l-phe-l-pro)"	"Peptide"	"Dipeptide"	37095	"202"	3651	245.12846	""	"9837725;443440"	"C11847"	""
"x-19455"	""	""	42931	"203"	4385.7	261.0228	""	""	""	""
"cortisol"	"Lipid"	"Steroid"	1712	"202"	4573	363.2166	"50-23-7"	"5754"	"C00735"	"HMDB00063"
"n6-acetyllysine"	"Amino Acid"	"Lysine Metabolism"	36752	"202"	1134	189.12337	"692-04-6"	"92832"	"C02727"	"HMDB00206"
"x-14949"	""	""	36976	"202"	957	219.09773	""	""	""	""
"x-11441"	""	""	32758	"203"	3773	331.12937	""	""	""	""
"x-15503"	""	""	37751	"203"	1882	193.06186	""	""	""	""
"oleamide"	"Lipid"	"Fatty Acid, Amide"	32458	"202"	5766	282.27914	"301-02-0"	"5283387"	"C19670"	"HMDB02117"
"urea"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	1670	"GC/MS"	1223.9	171	"57-13-6"	"1176"	"C00086"	"HMDB00294"
"hypoxanthine"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	3127	"203"	1313	135.03123	"68-94-0"	"790"	"C00262"	"HMDB00157"
"x-17717"	""	""	40817	"202"	2593	304.14981	""	""	""	""
"5alpha-androstan-3alpha,17beta-diol monosulfate 1"	"Lipid"	"Steroid"	37186	"203"	4915	371.18976	""	""	""	""
"2-arachidonoyl glycerol"	"Lipid"	"Monoacylglycerol"	19266	"203"	5955	303.23295	"53847-30-6"	"5282280"	"C13856"	"HMDB04666"
"x-16036"	""	""	38478	"202"	2179	247.12808	""	""	""	""
"x-13859"	""	""	35754	"203"	721	286.06039	""	""	""	""
"x-17337"	""	""	40135	"202"	4692.5	328.24793	""	""	""	""
"x-11440"	""	""	32757	"203"	3571	246.07449	""	""	""	""
"alpha-ketoglutarate"	"Energy"	"TCA Cycle"	33453	"GC/MS"	1779	419.1	"305-72-6;328-50-7;22202-68-2"	"51"	"C00026"	"HMDB00208"
"x-15382"	""	""	37629	"202"	2540	271.10434	""	""	""	""
"x-11787"	""	""	33132	"202"	1126	148.0966	""	""	""	""
"x-20676"	""	""	45277	"202"	2120.3	359.19193	""	""	""	""
"x-11593"	""	""	32910	"203"	790	189.04047	""	""	""	""
"x-16581"	""	""	39154	"202"	2233.2	304.1754	""	""	""	""
"1,2-propanediol"	"Xenobiotics"	"Chemical"	38002	"GC/MS"	1041	117	"57-55-6"	"1030"	"C00583"	"HMDB01881"
"homostachydrine"	"Xenobiotics"	"Food Component/Plant"	33009	"202"	1199	158.11756	"1195-94-4"	"441447"	"C08283"	"HMDB33433"
"x-14291"	""	""	36217	"202"	2373	195.11276	""	""	""	""
"x-12524"	""	""	34062	"203"	5567	205.15937	""	""	""	""
"x-18446"	""	""	41672	"202"	2683.5	280.15366	""	""	""	""
"1-palmitoyl-gpc (16:0)"	"Lipid"	"Lysolipid"	33955	"202"	5671	496.33977	"17364-16-8"	"86554"	""	""
"phenylalanylleucine"	"Peptide"	"Dipeptide"	40192	"203"	4165.3	277.15576	"3303-55-7"	"4078229"	""	""
"docosapentaenoate (dpa; 22:5n3)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	32504	"203"	5574	329.2486	"2234-74-4"	"6441454"	"C16513"	"HMDB01976"
"dimethyl sulfone"	"Xenobiotics"	"Chemical"	43424	"202"	1024.3	95.01613	"67-71-0"	"6213"	"C11142"	"HMDB04983"
"2-aminoadipate"	"Amino Acid"	"Lysine Metabolism"	6146	"202"	794	162.07609	"542-32-5;1118-90-7"	"469"	"C00956"	"HMDB00510"
"x-11905"	""	""	33250	"203"	4401	283.19098	""	""	""	""
"vaccenate (18:1n7)"	"Lipid"	"Long Chain Fatty Acid"	33970	"GC/MS"	1987	339.3	"506-17-2"	"5282761"	"C08367"	"HMDB03231"
"decanoylcarnitine (c10)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	33941	"202"	4700	316.24824	"1492-27-9"	"10245190"	""	"HMDB00651"
"phenylalanyltryptophan"	"Peptide"	"Dipeptide"	41377	"202"	3349	352.16557	"24587-41-5"	""	""	""
"guanosine"	"Nucleotide"	"Purine Metabolism, Guanine containing"	1573	"202"	1676	284.09895	"118-00-3"	"6802"	"C00387"	"HMDB00133"
"proline"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	1898	"202"	796	116.07061	"147-85-3"	"145742"	"C00148"	"HMDB00162"
"21-hydroxypregnenolone disulfate"	"Lipid"	"Steroid"	37173	"203"	3931	245.06711	"1164-98-3"	"134595"	"C05485"	"HMDB04026"
"x-17306"	""	""	40104	"202"	2202.6	290.15955	""	""	""	""
"x-17010"	""	""	39641	"203"	3169.5	189.11285	""	""	""	""
"sorbitol"	"Carbohydrate"	"Fructose, Mannose and Galactose Metabolism"	15053	"GC/MS"	1843	319.1	"6706-59-8"	"5780"	"C00794"	"HMDB00247"
"valylglycine"	"Peptide"	"Dipeptide"	40475	"202"	1330	175.10772	"686-43-1"	"136487"	""	""
"oleic ethanolamide"	"Lipid"	"Endocannabinoid"	38102	"203"	6553	324.2908	"11-58-0;111-58-0"	"5283454"	""	"HMDB02088"
"valylvaline"	"Peptide"	"Dipeptide"	40728	"202"	1842	217.15467	"3918-94-3"	"409682;4280382"	""	""
"indoleacetate"	"Amino Acid"	"Tryptophan Metabolism"	27513	"202"	3760	176.07061	"6505-45-9"	"802"	"C00954"	"HMDB00197"
"x-14272"	""	""	36198	"202"	2265	261.14475	""	""	""	""
"x-17185"	""	""	39855	"203"	3069.1	215.00155	""	""	""	""
"x-01911"	""	""	32735	"202"	4275	464.19216	""	""	""	""
"x-11247"	""	""	32564	"203"	3932	213.02227	""	""	""	""
"ribose"	"Carbohydrate"	"Pentose Metabolism"	12083	"GC/MS"	1652	204	"50-69-1"	"5779"	"C00121"	"HMDB00283"
"2-palmitoleoyl-gpc (16:1)"	"Lipid"	"Lysolipid"	35819	"202"	5482	494.32412	""	""	""	""
"n-acetylleucine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	1587	"202"	3444	174.11247	"1188-21-2"	"70912"	"C02710"	"HMDB11756"
"x-14473"	""	""	36399	"202"	3363	211.14441	""	""	""	""
"x-11342"	""	""	32659	"203"	870	112.98577	""	""	""	""
"x-11687"	""	""	33031	"202"	2182	384.11539	""	""	""	""
"x-12860"	""	""	34544	"202"	2264	276.1809	""	""	""	""
"x-15375"	""	""	37622	"202"	2502	328.12684	""	""	""	""
"asparagylleucine"	"Peptide"	"Dipeptide"	42980	"202"	2170	246.14484	""	""	""	""
"x-18901"	""	""	42286	"203"	3820.5	211.0248	""	""	""	""
"xylitol"	"Carbohydrate"	"Pentose Metabolism"	4966	"GC/MS"	1677.6	307.2	"87-99-0"	"6912"	"C00379"	"HMDB02917"
"pipecolate"	"Amino Acid"	"Lysine Metabolism"	1444	"202"	1120	130.08626	"4043-87-2"	"849"	"C00408"	"HMDB00070"
"x-14320"	""	""	36246	"202"	2501	295.12833	""	""	""	""
"2-hydroxyisobutyrate"	"Xenobiotics"	"Chemical"	22030	"GC/MS"	1107.5	130.9	"594-61-6"	"11671"	""	"HMDB00729"
"hydroxybutyrylcarnitine"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	43264	"202"	1475	248.14925	""	"53481617"	""	"HMDB13127"
"x-16934"	""	""	39517	"203"	4488.8	631.23963	""	""	""	""
"x-15136"	""	""	37277	"202"	4063	243.0871	""	""	""	""
"x-11537"	""	""	32854	"202"	5200	366.33685	""	""	""	""
"2-hydroxystearate"	"Lipid"	"Fatty Acid, Monohydroxy"	17945	"203"	5705	299.25917	"629-22-1"	"69417"	"C03045"	""
"x-19183"	""	""	42659	"203"	1619	230.04872	""	""	""	""
"x-12007"	""	""	33353	"203"	1376	222.99134	""	""	""	""
"x-18227"	""	""	41331	"202"	1817.3	160.09682	""	""	""	""
"3-hydroxyisobutyrate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	1549	"GC/MS"	1205	177.11	"2068-83-9"	"87"	"C06001"	"HMDB00336"
"1-oleoylplasmenylethanolamine"	"Lipid"	"Lysolipid"	44621	"203"	6105.2	462.29899	""	""	""	""
"x-16569"	""	""	39142	"203"	3657.8	243.15984	""	""	""	""
"n-acetyl-beta-alanine"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	37432	"202"	1460	132.06552	"3025-95-4"	"76406"	"C01073"	""
"sarcosine (n-methylglycine)"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	1516	"GC/MS"	1182.9	116	"107-97-1"	"1088"	"C00213"	"HMDB00271"
"x-15666"	""	""	37915	"202"	2096	221.09205	""	""	""	""
"x-14563"	""	""	36490	"203"	5872	345.2831	""	""	""	""
"aspartylphenylalanine"	"Peptide"	"Dipeptide"	22175	"202"	2538	281.1132	"13433-09-5"	"93078"	""	"HMDB00706"
"epiandrosterone sulfate"	"Lipid"	"Steroid"	33973	"203"	4838	369.17411	"22229-22-7"	""	"C07635"	"HMDB00365"
"palmitate (16:0)"	"Lipid"	"Long Chain Fatty Acid"	1336	"203"	5619	255.23295	"57-10-3"	"985"	"C00249"	"HMDB00220"
"lysine"	"Amino Acid"	"Lysine Metabolism"	1301	"202"	603	147.11281	"56-87-1"	"5962"	"C00047"	"HMDB00182"
"x-12425"	""	""	33854	"203"	732	307.15155	""	""	""	""
"x-19140"	""	""	42547	"203"	3638.6	309.10125	""	""	""	""
"x-14228"	""	""	36154	"202"	1988	227.10219	""	""	""	""
"palmitoyl sphingomyelin"	"Lipid"	"Sphingolipid Metabolism"	37506	"GC/MS"	2524	311.3	"6254-89-3"	"9939941"	""	""
"pregn steroid monosulfate"	"Lipid"	"Steroid"	32619	"203"	4998	397.20518	"1247-64-9"	""	""	""
"kynurenate"	"Amino Acid"	"Tryptophan Metabolism"	1417	"202"	2825	190.04987	"492-27-3"	"3845"	"C01717"	"HMDB00715"
"aspartylleucine"	"Peptide"	"Dipeptide"	40068	"202"	2310	247.12885	"3062-14-4"	"332962"	""	""
"s-adenosylhomocysteine (sah)"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	15948	"202"	1480	385.12887	"979-92-0"	"439155"	"C00021"	"HMDB00939"
"x-19141"	""	""	42548	"203"	3641	415.19644	""	""	""	""
"n-oleoyltaurine"	"Lipid"	"Endocannabinoid"	39732	"203"	5599.9	388.2527	"52514-04-2"	"6437033"	""	""
"x-14352"	""	""	36278	"202"	2635	247.12911	""	""	""	""
"x-12119"	""	""	33534	"202"	1582	208.06379	""	""	""	""
"x-11852"	""	""	33197	"203"	3324	232.99435	""	""	""	""
"imidazole lactate"	"Amino Acid"	"Histidine Metabolism"	15716	"202"	778	157.06077	"14403-45-3"	"440129"	"C05568"	"HMDB02320"
"palmitoleate (16:1n7)"	"Lipid"	"Long Chain Fatty Acid"	33447	"203"	5477	253.2173	"373-49-9"	"445638"	"C08362"	"HMDB03229"
"x-11261"	""	""	32578	"202"	3600	286.20173	""	""	""	""
"x-16103"	""	""	38546	"203"	659.1	99.00868	""	""	""	""
"myo-inositol"	"Lipid"	"Inositol Metabolism"	19934	"GC/MS"	1924.9	217	"87-89-8"	"892"	"C00137"	"HMDB00211"
"1-docosapentaenoyl-gpc (22:5n3)"	"Lipid"	"Lysolipid"	37231	"202"	5584	570.35542	""	""	""	""
"x-11442"	""	""	32759	"203"	3902	331.12932	""	""	""	""
"1-palmitoylglycerophosphoglycerol"	"Lipid"	"Lysolipid"	45970	"203"	5549.7	483.2728	""	"3300276"	""	""
"x-11429"	""	""	32746	"203"	1151	245.07744	""	""	""	""
"x-12726"	""	""	34336	"203"	1993	233.01259	""	""	""	""
"palmitic amide"	"Lipid"	"Fatty Acid, Amide"	42095	"202"	5758	256.26349	"629-54-9"	"69421"	""	""
"1-arachidonoylglyercophosphate"	"Lipid"	"Lysolipid"	42768	"203"	5488.5	457.23606	"799268-65-8"	""	""	""
"x-07765"	""	""	32560	"203"	3705	245.04841	""	""	""	""
"scyllo-inositol"	"Lipid"	"Inositol Metabolism"	32379	"GC/MS"	1893.8	318.2	"488-59-5"	"892"	"C06153"	"HMDB06088"
"adipate"	"Lipid"	"Fatty Acid, Dicarboxylate"	21134	"202"	2460	147.06519	"124-04-9"	"196"	"C06104"	"HMDB00448"
"octanoylcarnitine (c8)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	33936	"202"	4100	288.21694	"3671-77-0"	"123701"	"C02838"	"HMDB00791"
"succinylcarnitine (c4)"	"Energy"	"TCA Cycle"	37058	"202"	1401	262.12852	""	""	""	""
"x-19142"	""	""	42549	"203"	3789.2	505.26559	""	""	""	""
"pregnenolone sulfate"	"Lipid"	"Steroid"	38170	"203"	5089	395.18976	"1247-64-9"	"105074"	""	"HMDB00774"
"2-ethylhexanoic acid"	"Xenobiotics"	"Chemical"	1554	"GC/MS"	1210.5	201.2	"123-66-0;149-57-5"	"8697"	""	"HMDB31230"
"glycerate"	"Carbohydrate"	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1572	"GC/MS"	1360.7	189	"600-19-1"	"752"	"C00258"	"HMDB00139"
"x-12700"	""	""	34310	"203"	1060	227.1152	""	""	""	""
"octaethylene glycol"	"Xenobiotics"	"Chemical"	42361	"202"	3054	388.25411	"5117-19-1"	"78798"	""	""
"citrate"	"Energy"	"TCA Cycle"	1564	"GC/MS"	1763.4	273.1	"77-92-9"	"311"	"C00158"	"HMDB00094"
"fumarate"	"Energy"	"TCA Cycle"	1643	"GC/MS"	1382.1	245	"100-17-8"	""	"C00122"	"HMDB00134"
"phenylalanylglycine"	"Peptide"	"Dipeptide"	41370	"202"	2120.1	223.10772	"721-90-4"	"98207"	""	""
"x-14665"	""	""	36592	"203"	1498	232.02804	""	""	""	""
"ibuprofen acyl glucuronide"	"Xenobiotics"	"Drug"	38326	"203"	4969	381.15549	"115075-59-7"	"163959"	""	""
"cotinine n-oxide"	"Xenobiotics"	"Tobacco Metabolite"	38662	"202"	1790.9	193.09716	"36508-80-2"	"9815514"	""	"HMDB01411"
"x-16137"	""	""	38584	"202"	3311.8	460.73391	""	""	""	""
"cotinine"	"Xenobiotics"	"Tobacco Metabolite"	553	"202"	1493	177.10224	"486-56-6"	"854019"	""	"HMDB01046"
"x-12733"	""	""	34343	"203"	2079	339.06582	""	""	""	""
"x-18604"	""	""	41838	"203"	2838.6	355.197	""	""	""	""
"17-methylstearate"	"Lipid"	"Fatty Acid, Branched"	38296	"203"	5987	297.2799	"2724-59-6"	"3083779"	""	""
"histidylvaline"	"Peptide"	"Dipeptide"	42069	"202"	849	255.14517	"76019-15-3"	""	""	""
"sorbose"	"Carbohydrate"	"Fructose, Mannose and Galactose Metabolism"	563	"GC/MS"	1800.9	437.1	"87-79-6"	"441484"	"C00247"	"HMDB01266"
"x-12855"	""	""	34539	"202"	1404	248.14957	""	""	""	""
"glucose"	"Carbohydrate"	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	20488	"GC/MS"	1866.8	217.1	"50-99-7"	"79025"	"C00031"	"HMDB00122"
"valine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	1649	"202"	1040	118.08626	"72-18-4"	"6287"	"C00183"	"HMDB00883"
"heptaethylene glycol"	"Xenobiotics"	"Chemical"	38154	"202"	2836	327.20135	"5617-32-3"	"79718"	""	""
"x-12216"	""	""	33637	"203"	1701	227.99676	""	""	""	""
"phenylalanylaspartate"	"Peptide"	"Dipeptide"	41419	"202"	1901	281.1132	"22828-05-3"	"335051"	""	""
"x-11334"	""	""	32651	"202"	982	259.09272	""	""	""	""
"x-13396"	""	""	35099	"202"	5153	246.15173	""	""	""	""
"x-19302"	""	""	42778	"203"	4344.9	234.98312	""	""	""	""
"folate"	"Cofactors and Vitamins"	"Folate Metabolism"	1826	"202"	2606	442.14696	"59-30-3"	"6037"	"C00504"	"HMDB00121"
"1-margaroylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	37419	"203"	6029	466.29391	""	""	""	""
"sorbate"	"Xenobiotics"	"Food Component/Plant"	41502	"202"	3892.8	113.05971	"110-44-1"	"643460"	"D02411"	"HMDB29581"
"x-12221"	""	""	33642	"203"	1468	203.99684	""	""	""	""
"1-palmitoylglycerophosphate"	"Lipid"	"Lysolipid"	34428	"203"	5752	409.23606	"17618-08-5"	"6419701"	"C04036"	"HMDB00327"
"x-14056"	""	""	35977	"202"	914	192.03252	""	""	""	""
"x-12753"	""	""	34363	"202"	1884	220.06377	""	""	""	""
"3-hydroxytetradecanedioate"	"Lipid"	"Fatty Acid, Monohydroxy"	31930	"203"	3385	273.17074	"73179-89-2"	""	""	""
"beta-alanine"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	35838	"GC/MS"	1582.3	334.1	"56-41-7;107-95-9"	"239"	"C00099"	"HMDB00056"
"carboxyibuprofen"	"Xenobiotics"	"Drug"	43333	"203"	1934	235.09758	"15935-54-3"	"10444113"	""	""
"xanthurenate"	"Amino Acid"	"Tryptophan Metabolism"	15679	"202"	2690	206.04479	"59-007"	"5699"	"C02470"	"HMDB00881"
"saccharin"	"Xenobiotics"	"Food Component/Plant"	21151	"203"	2013	181.99173	"81-07-2"	"5143"	"D01085"	"HMDB29723"
"x-19126"	""	""	42533	"203"	3660.9	545.31775	""	""	""	""
"phenylpyruvate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	566	"203"	2534	163.04007	"156-06-9"	"997"	"C00166"	"HMDB00205"
"x-16283"	""	""	38852	"203"	2338.1	192.0668	""	""	""	""
"x-18606"	""	""	41840	"203"	3940.3	429.177	""	""	""	""
"x-17471"	""	""	40300	"203"	4017.3	394.05472	""	""	""	""
"x-12816"	""	""	34499	"203"	2676	495.22267	""	""	""	""
"x-19133"	""	""	42540	"203"	2383.2	381.0758	""	""	""	""
"x-18981"	""	""	42379	"202"	2445.2	284.13361	""	""	""	""
"x-17655"	""	""	40597	"203"	4172.2	421.0596	""	""	""	""
"x-15484"	""	""	37732	"202"	2506	271.10481	""	""	""	""
"caproate (6:0)"	"Lipid"	"Medium Chain Fatty Acid"	32489	"203"	2766	115.07645	"142-62-1"	"8892"	"C01585"	"HMDB00535"
"homocitrulline"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	22138	"202"	832	190.11862	"1190-49-4"	"65072"	"C02427"	"HMDB00679"
"hexanoylcarnitine (c6)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	32328	"202"	3174	260.18564	"6920-35-0"	"6426853"	""	"HMDB00705"
"n-formylmethionine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	2829	"203"	1541	176.03869	"4289-98-9"	"439750"	"C03145"	"HMDB01015"
"dihomolinoleate (20:2n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	17805	"203"	5722	307.26425	"2091-39-6"	"6439848"	"C16525"	"HMDB05060"
"1-eicosenoylglycerophosphocholine (20:1n9)"	"Lipid"	"Lysolipid"	44560	"202"	5882.7	550.38672	""	""	""	""
"x-16132"	""	""	38579	"202"	2305.3	472.68381	""	""	""	""
"1-stearoyl-gpe (18:0)"	"Lipid"	"Lysolipid"	34416	"203"	6200	480.30956	"69747-55-3"	"9547068"	""	"HMDB11130"
"x-16397"	""	""	38966	"202"	2200.8	248.09545	""	""	""	""
"levulinate (4-oxovalerate)"	"Xenobiotics"	"Food Component/Plant"	22177	"202"	1867	117.05462	"123-76-2"	"11579"	""	"HMDB00720"
"x-12742"	""	""	34352	"203"	2534	241.11885	""	""	""	""
"3-methyl catechol sulfate 1"	"Xenobiotics"	"Benzoate Metabolism"	42494	"203"	2779.2	203.00196	""	""	""	""
"x-11640"	""	""	32957	"203"	3776	377.07015	""	""	""	""
"x-14374"	""	""	36300	"202"	2792	197.12796	""	""	""	""
"x-19451"	""	""	42927	"203"	3728.5	239.00133	""	""	""	""
"x-13726"	""	""	35536	"203"	1523	379.03427	""	""	""	""
"octadecanedioate (c18)"	"Lipid"	"Fatty Acid, Dicarboxylate"	36754	"203"	5033	313.23843	"871-70-5"	"70095"	""	"HMDB00782"
"n-acetylalliin"	"Xenobiotics"	"Food Component/Plant"	45404	"203"	1446	218.04925	""	""	""	""
"x-15595"	""	""	37844	"203"	2124	343.025	""	""	""	""
"dehydroisoandrosterone sulfate (dhea-s)"	"Lipid"	"Steroid"	32425	"203"	4771	367.15846	"651-48-9"	"12594"	"C04555"	"HMDB01032"
"x-18932"	""	""	42319	"203"	1516.4	199.06123	""	""	""	""
"x-17696"	""	""	40793	"203"	3246.7	341.124	""	""	""	""
"tyrosyltryptophan"	"Peptide"	"Dipeptide"	41405	"203"	3192.4	366.14593	"60815-41-0"	""	""	""
"x-18273"	""	""	41421	"203"	2615	573.2764	""	""	""	""
"x-17705"	""	""	40802	"203"	4637.4	594.3644	""	""	""	""
"cysteine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	31453	"GC/MS"	1560.1	218	"52-90-4;56-89-3"	"5862"	"C00097"	"HMDB00574"
"x-16945"	""	""	39528	"203"	3457.9	351.0177	""	""	""	""
"diphenhydramine"	"Xenobiotics"	"Drug"	38669	"202"	3832	256.16959	"147-24-0"	"3100"	"C06960"	"HMDB01927"
"xylose"	"Carbohydrate"	"Pentose Metabolism"	15835	"GC/MS"	1723.9	204	"609-06-3"	"135191"	"C00181"	"HMDB00098"
"x-12718"	""	""	34328	"203"	1750	324.07221	""	""	""	""
"x-19124"	""	""	42531	"203"	3431.4	457.26572	""	""	""	""
"x-11540"	""	""	32857	"202"	5150	342.26418	""	""	""	""
"x-13435"	""	""	35193	"202"	4640	314.23309	""	""	""	""
"arabitol"	"Carbohydrate"	"Pentose Metabolism"	38075	"GC/MS"	1687.5	307.1	"7643-75-6"	"94154"	"C01904"	"HMDB01851"
"x-17348"	""	""	40155	"203"	2524	247.08252	""	""	""	""
"1-oleoylglycerophosphoglycerol"	"Lipid"	"Lysolipid"	45968	"203"	5586.8	509.2885	""	""	""	""
"taurine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	2125	"203"	699	124.00739	"107-35-7"	"1123"	"C00245"	"HMDB00251"
"x-10457"	""	""	33014	"202"	1515	261.14374	""	""	""	""
"x-11949"	""	""	33295	"202"	3830	220.13596	""	""	""	""
"3-ureidopropionate"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	3155	"202"	1062	133.06077	"462-88-4"	"111"	"C02642"	"HMDB00026"
"2-methylcitrate"	"Energy"	"TCA Cycle"	37483	"GC/MS"	1778	287.1	"6061-96-7"	"439681"	"C02225"	"HMDB00379"
"x-12544"	""	""	34112	"202"	4360	211.0966	""	""	""	""
"x-18933"	""	""	42320	"203"	1827.9	249.00832	""	""	""	""
"1-eicosenoylglycerophosphoethanolamine (20:1n9)"	"Lipid"	"Lysolipid"	44628	"203"	6243.8	506.32521	""	""	""	""
